ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
Staphylococcus aureus norA	3004667	protein homolog model	Resistomes & Variants	2	97.64 - 99.2	NO	NO	Staphylococcus aureus	2.00	0.00	2.00	1.95	22.50	76.00	0	0	0	0	N/A	N/A		1149; 1158	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
mecR1	3000215	protein homolog model	Resistomes & Variants	1	97.44	NO	NO	Staphylococcus aureus	3.00	0.00	3.00	4.71	83.00	127.67	0	0	0	0	N/A	N/A		1764	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement
PC1 beta-lactamase (blaZ)	3000621	protein homolog model	Resistomes & Variants	2	94.31 - 96.0	NO	NO	Staphylococcus aureus	5.00	0.00	5.00	22.29	201.00	159.88	0	0	0	0	N/A	N/A		897; 918	BlaZ beta-lactamase	penicillin beta-lactam	antibiotic inactivation
msrA	3000251	protein homolog model	Resistomes & Variants	2	97.76 - 98.15	NO	NO	Staphylococcus aureus	4.00	0.00	4.00	13.38	199.50	142.00	0	0	0	0	N/A	N/A		1476; 1500	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target protection
dfrG	3002868	protein homolog model	Resistomes & Variants	1	99.39	YES	NO	Staphylococcus aureus	6.00	0.00	6.00	68.67	342.00	191.67	0	0	0	0	N/A	N/A		498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
fusB	3003552	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Staphylococcus epidermidis	1.00	0.00	1.00	4.26	18.00	34.00	0	0	0	0	N/A	N/A		423	Target protecting FusB-type protein conferring resistance to Fusidic acid	fusidane antibiotic	antibiotic target protection
Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	protein overexpression model	Resistomes & Variants	1	93.46	YES	NO	Citrobacter freundii	3.00	0.00	3.00	46.67	196.00	151.33	0	0	0	0	N/A	N/A		420	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux; reduced permeability to antibiotic
baeR	3000828	protein overexpression model	Resistomes & Variants	2	96.23 - 96.65	YES	NO	Citrobacter amalonaticus; Enterobacter cloacae	5.00	0.00	5.00	37.07	268.00	132.62	0	0	0	0	N/A	N/A		723; 723	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
Escherichia coli soxR with mutation conferring antibiotic resistance	3003381	protein overexpression model	Resistomes & Variants	1	96.05	YES	NO	Salmonella enterica	1.00	0.00	1.00	32.68	150.00	142.00	0	0	0	0	N/A	N/A		459	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux
Escherichia coli marR mutant conferring antibiotic resistance	3003378	protein overexpression model	Resistomes & Variants	1	83.92	NO	NO	Klebsiella michiganensis	1.00	0.00	1.00	4.37	19.00	47.00	0	0	0	0	N/A	N/A		435	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux
nalC	3000818	protein overexpression model	Resistomes & Variants	1	98.56	NO	NO	Pseudomonas aeruginosa	2.00	0.00	2.00	25.78	181.00	138.50	0	0	0	0	N/A	N/A		702	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic	antibiotic efflux
Type A NfxB	3004059	protein overexpression model	Resistomes & Variants	1	100.0	YES	NO	Pseudomonas aeruginosa	158.00	0.00	158.00	37.60	1903.00	111.27	0	0	0	0	N/A	N/A		5061	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
MexT	3000814	protein overexpression model	Resistomes & Variants	1	99.63	YES	NO	Pseudomonas aeruginosa	2.00	0.00	2.00	28.31	259.00	130.00	0	0	0	0	N/A	N/A		915	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	protein variant model	Resistomes & Variants	77	86.73 - 99.75	YES	NO	Aeromonas hydrophila; Aeromonas caviae; Actinobacillus indolicus; Aeromonas enteropelogenes; Aeromonas veronii; Cronobacter sakazakii; Citrobacter koseri; Cronobacter dublinensis; Cronobacter condimenti; Cronobacter turicensis; Enterobacter cloacae; Enterobacter chengduensis; Escherichia coli; Morganella morganii; Klebsiella aerogenes; Klebsiella pneumoniae; Vibrio cholerae; Proteus vulgaris; Shewanella putrefaciens; Salmonella enterica; Glaesserella parasuis; Leminorella grimontii; Klebsiella oxytoca; Vibrio mimicus; Enterobacter hormaechei; Klebsiella michiganensis; Proteus mirabilis; Serratia liquefaciens; Klebsiella quasipneumoniae; Pectobacterium parmentieri; Leclercia adecarboxylata; Salmonella bongori; Providencia stuartii; Edwardsiella tarda; Haemophilus parainfluenzae; Providencia rettgeri; Haemophilus influenzae; Serratia marcescens; Kosakonia arachidis	657.00	0.00	657.00	26.93	327.34	140.25	0	0	0	0	N/A	N/A		1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1188; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1185; 1122; 1185; 1245; 1638; 1185; 1170; 1185; 1185; 1176; 1185; 1251; 1173; 1185; 1185; 1185; 1185; 1185; 1170; 1185; 1185; 1230; 1185; 1185; 1185; 1359; 1185; 1185; 1176; 1185; 1185; 1182; 1185; 1185; 1293; 1185; 1185; 1185; 1185; 1185; 1182; 1185; 1185; 1185; 1185; 1185; 1185; 2337; 1185; 1185; 1185	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	3003817	protein variant model	Resistomes & Variants	6	95.13 - 99.78	YES	NO	Acinetobacter calcoaceticus; Acinetobacter pittii; Acinetobacter baumannii	13.00	0.00	13.00	8.20	222.67	163.42	0	0	0	0	N/A	N/A		2715; 2715; 2715; 2715; 2715; 2715	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Acinetobacter baumannii parC conferring resistance to fluoroquinolones	3003818	protein variant model	Resistomes & Variants	1	98.78	NO	NO	Acinetobacter pittii	5.00	0.00	5.00	29.14	647.00	135.00	0	0	0	0	N/A	N/A		2220	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
Escherichia coli parC conferring resistance to fluoroquinolones	3003308	protein variant model	Resistomes & Variants	15	93.75 - 99.73	YES	NO	Citrobacter werkmanii; Citrobacter koseri; Citrobacter freundii; Citrobacter portucalensis; Citrobacter amalonaticus; Escherichia coli; Klebsiella pneumoniae; Salmonella enterica; Escherichia fergusonii; Klebsiella michiganensis; Klebsiella quasipneumoniae	60.00	0.00	60.00	15.06	340.93	132.95	0	0	0	0	N/A	N/A		2259; 2259; 2259; 2259; 2259; 2259; 2259; 2259; 2346; 2259; 2259; 2259; 2259; 2259; 2259	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
Salmonella serovars gyrB conferring resistance to fluoroquinolones	3003307	protein variant model	Resistomes & Variants	9	87.31 - 99.88	YES	NO	Citrobacter werkmanii; Citrobacter freundii; Shigella flexneri; Escherichia coli; Klebsiella aerogenes; Salmonella enterica; Enterobacter hormaechei; Serratia marcescens	210.00	0.00	210.00	18.58	448.56	142.05	0	0	0	0	N/A	N/A		2415; 2415; 2415; 2415; 2415; 2415; 2415; 2412; 2415	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	protein variant model	Resistomes & Variants	12	49.37 - 53.79	YES	NO	Citrobacter koseri; Enterobacter cloacae; Escherichia coli; Klebsiella pneumoniae; Enterobacter hormaechei; Serratia liquefaciens; Leclercia adecarboxylata; Kosakonia arachidis	30.00	0.00	30.00	9.61	185.75	162.19	0	0	0	0	N/A	N/A		1767; 1767; 1767; 3240; 1923; 1767; 1746; 1767; 1764; 1764; 1767; 1767	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	cephalosporin; penicillin beta-lactam	antibiotic target alteration
Salmonella enterica gyrA conferring resistance to fluoroquinolones	3003926	protein variant model	Resistomes & Variants	8	95.78 - 99.89	YES	NO	Citrobacter koseri; Enterobacter cloacae; Salmonella enterica; Enterobacter hormaechei; Klebsiella quasipneumoniae	20.00	0.00	20.00	10.95	288.62	160.06	0	0	0	0	N/A	N/A		2637; 2637; 2637; 2637; 2637; 2637; 2637; 2634	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Escherichia coli GlpT with mutation conferring resistance to fosfomycin	3003889	protein variant model	Resistomes & Variants	12	90.65 - 97.57	YES	NO	Cronobacter malonaticus; Cronobacter dublinensis; Citrobacter freundii; Cronobacter turicensis; Citrobacter amalonaticus; Enterobacter cloacae; Salmonella enterica; Serratia marcescens	27.00	0.00	27.00	14.62	198.17	150.79	0	0	0	0	N/A	N/A		1353; 1353; 1359; 1359; 1353; 1359; 1359; 1353; 1359; 1359; 1353; 1353	antibiotic-resistant GlpT	phosphonic acid antibiotic	antibiotic target alteration
Escherichia coli gyrA conferring resistance to fluoroquinolones	3003294	protein variant model	Resistomes & Variants	8	90.4 - 99.77	YES	NO	Citrobacter youngae; Citrobacter portucalensis; Enterobacter asburiae; Escherichia coli; Raoultella planticola; Enterobacter roggenkampii; Escherichia albertii; Leclercia adecarboxylata	32.00	0.00	32.00	10.70	282.00	146.15	0	0	0	0	N/A	N/A		2637; 2640; 2637; 2628; 2640; 2637; 2628; 2637	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Bacillus subtilis rpoB mutants conferring resistance to rifampin	3007073	protein variant model	Resistomes & Variants	1	99.92	YES	NO	Bacillus subtilis	8.00	0.00	8.00	21.89	784.00	97.75	0	0	0	0	N/A	N/A		3582	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Clostridioides difficile gyrB conferring resistance to fluoroquinolones	3004562	protein variant model	Resistomes & Variants	2	77.43 - 79.06	NO	NO	Clostridium botulinum; Clostridium butyricum	6.00	0.00	6.00	13.86	265.00	111.10	0	0	0	0	N/A	N/A		1911; 1914	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
Morganella morganii gyrB conferring resistance to fluoroquinolones	3003306	protein variant model	Resistomes & Variants	10	80.22 - 100.0	YES	NO	Citrobacter amalonaticus; Escherichia coli; Morganella morganii; Klebsiella huaxiensis; Klebsiella oxytoca; Klebsiella michiganensis; Enterobacter kobei	62.00	0.00	62.00	18.97	458.00	132.92	0	0	0	0	N/A	N/A		2415; 2415; 2415; 2415; 2415; 2415; 2415; 2415; 2415; 2412	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolones	3003459	protein variant model	Resistomes & Variants	2	90.69 - 99.86	YES	NO	Mycobacterium avium; Mycobacterium tuberculosis	1122.00	0.00	1122.00	92.41	1927.50	116.47	0	0	0	0	N/A	N/A		2034; 2145	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin	3003784	protein variant model	Resistomes & Variants	10	91.22 - 99.76	YES	NO	Mycobacterium avium; Mycobacterium tuberculosis; Mycolicibacterium septicum; Mycobacterium colombiense; Mycolicibacterium fortuitum; Mycobacterium intracellulare; Mycobacterium leprae	59.00	0.00	59.00	28.97	363.40	129.56	0	0	0	0	N/A	N/A		1254; 1254; 1254; 1374; 1257; 1242; 1239; 1239; 1239; 1242	antibiotic-resistant murA transferase	phosphonic acid antibiotic	antibiotic target alteration
Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid	3004157	protein variant model	Resistomes & Variants	2	83.85 - 84.33	YES	NO	Mycobacterium avium; Mycobacterium intracellulare	85.00	0.00	85.00	66.98	981.00	108.12	0	0	0	0	N/A	N/A		1458; 1470	aminosalicylate resistant dihydrofolate synthase	salicylic acid antibiotic	antibiotic target alteration
Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones	3003295	protein variant model	Resistomes & Variants	7	94.12 - 99.76	YES	NO	Mycobacterium avium; Mycobacterium tuberculosis	840.00	0.00	840.00	38.53	970.29	119.99	0	0	0	0	N/A	N/A		2520; 2517; 2517; 2517; 2517; 2517; 2517	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	3003684	protein variant model	Resistomes & Variants	25	84.18 - 99.89	YES	NO	Pseudomonas stutzeri; Pseudomonas putida; Pseudomonas monteilii; Pseudomonas mendocina; Pseudomonas aeruginosa	810.00	0.00	810.00	24.41	723.24	130.25	0	0	0	0	N/A	N/A		2808; 2808; 2766; 2760; 2766; 2769; 2766; 2766; 2772; 2766; 2769; 2772; 2766; 2772; 2766; 2766; 2763; 2766; 2766; 2766; 3918; 2766; 3912; 2766; 3867	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Escherichia coli CyaA with mutation conferring resistance to fosfomycin	3003900	protein variant model	Resistomes & Variants	6	98.82 - 99.29	YES	NO	Escherichia coli	9.00	0.00	9.00	6.40	163.00	125.94	0	0	0	0	N/A	N/A		2547; 2547; 2547; 2547; 2547; 2547	antibiotic-resistant cya adenylate cyclase	phosphonic acid antibiotic	antibiotic target alteration
Escherichia coli rpoB mutants conferring resistance to rifampicin	3003288	protein variant model	Resistomes & Variants	12	97.91 - 99.93	YES	NO	Escherichia coli; Klebsiella pneumoniae; Salmonella enterica; Shigella sonnei; Enterobacter hormaechei; Klebsiella quasipneumoniae; Enterobacter kobei	217.00	0.00	217.00	25.03	1008.33	145.83	0	0	0	0	N/A	N/A		4029; 4029; 4029; 4029; 4029; 4029; 4029; 4029; 4029; 4029; 4029; 4029	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Escherichia coli parE conferring resistance to fluoroquinolones	3003316	protein variant model	Resistomes & Variants	3	81.05 - 99.84	YES	NO	Escherichia coli; Klebsiella aerogenes; Vibrio mimicus	15.00	0.00	15.00	19.33	366.00	134.36	0	0	0	0	N/A	N/A		1893; 1896; 1881	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid	3003463	protein variant model	Resistomes & Variants	1	99.76	YES	NO	Mycobacterium tuberculosis	22.00	0.00	22.00	68.67	859.00	108.91	0	0	0	0	N/A	N/A		1251	antibiotic resistant kasA	isoniazid-like antibiotic	antibiotic target alteration
Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid	3003393	protein variant model	Resistomes & Variants	1	99.26	NO	NO	Mycobacterium tuberculosis	9.00	0.00	9.00	72.59	588.00	101.22	0	0	0	0	N/A	N/A		810	isoniazid resistant inhA	isoniazid-like antibiotic	antibiotic target alteration
Mycobacterium tuberculosis rpoB with mutations conferring resistance to rifampicin	3003283	protein variant model	Resistomes & Variants	11	98.55 - 100.0	YES	NO	Mycobacterium tuberculosis	1715.00	0.00	1715.00	23.38	825.45	136.87	0	0	0	0	N/A	N/A		3519; 3519; 3519; 3519; 3519; 3519; 3519; 3516; 3519; 3552; 3519	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	3003392	protein variant model	Resistomes & Variants	7	98.64 - 99.86	YES	NO	Mycobacterium tuberculosis	171.00	0.00	171.00	22.39	555.00	115.45	0	0	0	0	N/A	N/A		2223; 2223; 2223; 2223; 2223; 2223; 2796	isoniazid resistant katG	isoniazid-like antibiotic	antibiotic target alteration
Mycobacterium tuberculosis embB mutant conferring resistance to ethambutol	3003326	protein variant model	Resistomes & Variants	1	99.82	NO	NO	Mycobacterium tuberculosis	7.00	0.00	7.00	19.78	652.00	117.71	0	0	0	0	N/A	N/A		3297	ethambutol resistant embB	polyamine antibiotic	antibiotic target alteration
Mycobacterium tuberculosis embA mutant conferring resistance to ethambutol	3003453	protein variant model	Resistomes & Variants	2	99.73 - 99.82	NO	NO	Mycobacterium tuberculosis	7.00	0.00	7.00	13.06	429.00	120.05	0	0	0	0	N/A	N/A		3285; 3285	ethambutol resistant embA	polyamine antibiotic	antibiotic target alteration
Mycobacterium tuberculosis embC mutant conferring resistance to ethambutol	3003327	protein variant model	Resistomes & Variants	2	99.73 - 99.91	NO	NO	Mycobacterium tuberculosis	26.00	0.00	26.00	17.64	579.50	123.31	0	0	0	0	N/A	N/A		3285; 3285	ethambutol resistant embC	polyamine antibiotic	antibiotic target alteration
Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide	3003394	protein variant model	Resistomes & Variants	1	99.46	NO	NO	Mycobacterium tuberculosis	34.00	0.00	34.00	31.19	175.00	119.00	0	0	0	0	N/A	N/A		561	Pyrazinamide resistant pncA	pyrazine antibiotic	antibiotic target alteration
Mycobacterium tuberculosis thyA with mutation conferring resistance to para-aminosalicylic acid	3004153	protein variant model	Resistomes & Variants	2	99.24	NO	NO	Mycobacterium tuberculosis	102.00	0.00	102.00	55.20	469.00	86.56	0	0	0	0	N/A	N/A		801; 861	aminosalicylate resistant thymidylate synthase	salicylic acid antibiotic	antibiotic target alteration
Staphylococcus aureus gyrB conferring resistance to aminocoumarin	3003301	protein variant model	Resistomes & Variants	5	92.53 - 94.09	NO	NO	Staphylococcus warneri; Staphylococcus epidermidis; Staphylococcus aureus	14.00	0.00	14.00	12.66	244.60	147.95	0	0	0	0	N/A	N/A		1935; 1932; 1932; 1932; 1932	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	3003890	protein variant model	Resistomes & Variants	1	94.38	NO	NO	Enterobacter hormaechei	2.00	0.00	2.00	14.22	198.00	200.00	0	0	0	0	N/A	N/A		1392	antibiotic-resistant UhpT	phosphonic acid antibiotic	antibiotic target alteration
Escherichia coli folP with mutation conferring resistance to sulfonamides	3003386	protein variant model	Resistomes & Variants	2	91.49 - 91.84	NO	NO	Enterobacter hormaechei	4.00	0.00	4.00	17.90	152.00	138.25	0	0	0	0	N/A	N/A		849; 849	sulfonamide resistant dihydropteroate synthase folP	sulfonamide antibiotic	antibiotic target alteration
Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan	3004045	protein variant model	Resistomes & Variants	1	93.51	NO	NO	Klebsiella michiganensis	5.00	0.00	5.00	32.83	259.00	80.80	0	0	0	0	N/A	N/A		789	antibiotic resistant fabI	disinfecting agents and antiseptics; isoniazid-like antibiotic	antibiotic target alteration
Salmonella enterica gyrA with mutation conferring resistance to triclosan	3004334	protein variant model	Resistomes & Variants	1	88.18	NO	NO	Serratia liquefaciens	25.00	0.00	25.00	49.21	1305.00	121.08	0	0	0	0	N/A	N/A		2652	triclosan resistant gyrA	disinfecting agents and antiseptics	antibiotic target alteration
Staphylococcus aureus parE conferring resistance to fluoroquinolones	3003315	protein variant model	Resistomes & Variants	3	91.42 - 99.1	NO	NO	Staphylococcus haemolyticus; Staphylococcus epidermidis; Staphylococcus aureus	8.00	0.00	8.00	9.82	196.00	133.39	0	0	0	0	N/A	N/A		2001; 1995; 1992	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance	3003373	protein variant model	Resistomes & Variants	1	98.61	NO	NO	Klebsiella quasipneumoniae	2.00	0.00	2.00	29.95	195.00	154.00	0	0	0	0	N/A	N/A		651	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux
Neisseria gonorrhoeae gyrA with mutations conferring resistance to fluoroquinolones	3003928	protein variant model	Resistomes & Variants	1	92.21	YES	NO	Neisseria sicca	20.00	0.00	20.00	30.73	850.00	125.50	0	0	0	0	N/A	N/A		2766	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Neisseria gonorrhoeae parC conferring resistance to fluoroquinolones	3003929	protein variant model	Resistomes & Variants	2	97.38 - 99.74	NO	NO	Neisseria meningitidis	14.00	0.00	14.00	24.02	552.50	136.32	0	0	0	0	N/A	N/A		2298; 2304	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
Staphylococcus aureus gyrA conferring resistance to fluoroquinolones	3003296	protein variant model	Resistomes & Variants	1	88.35	NO	NO	Staphylococcus capitis	17.00	0.00	17.00	34.98	935.00	104.00	0	0	0	0	N/A	N/A		2673	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid	3003735	protein variant model	Resistomes & Variants	3	99.71 - 99.86	YES	NO	Staphylococcus aureus	41.00	0.00	41.00	33.49	697.33	142.23	0	0	0	0	N/A	N/A		2082; 2082; 2082	antibiotic resistant fusA	fusidane antibiotic	antibiotic target alteration
Staphylococcus aureus rpoB mutants conferring resistance to rifampicin	3003285	protein variant model	Resistomes & Variants	4	99.58 - 99.66	NO	NO	Staphylococcus aureus	41.00	0.00	41.00	21.67	769.75	112.22	0	0	0	0	N/A	N/A		3552; 3552; 3552; 3552	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Staphylococcus aureus walK with mutation conferring resistance to daptomycin	3003794	protein variant model	Resistomes & Variants	1	99.67	NO	NO	Staphylococcus aureus	3.00	0.00	3.00	9.63	176.00	74.67	0	0	0	0	N/A	N/A		1827	daptomycin resistant walK	peptide antibiotic	antibiotic target alteration
Staphylococcus aureus ileS with mutation conferring resistance to mupirocin	3003729	protein variant model	Resistomes & Variants	1	99.56	NO	NO	Staphylococcus aureus	2.00	0.00	2.00	7.15	197.00	137.50	0	0	0	0	N/A	N/A		2754	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
Staphylococcus aureus parC conferring resistance to fluoroquinolones	3003312	protein variant model	Resistomes & Variants	1	98.75	NO	NO	Staphylococcus aureus	6.00	0.00	6.00	15.86	381.00	121.83	0	0	0	0	N/A	N/A		2403	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
Campylobacter jejuni 23S rRNA with mutation conferring resistance to erythromycin	3004546	rRNA gene variant model	Resistomes & Variants	3	98.59 - 99.42	YES	NO	Campylobacter coli	347.00	0.00	347.00	40.31	1174.00	122.28	0	0	0	0	N/A	N/A		2912; 2913; 2912	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics	3004174	rRNA gene variant model	Resistomes & Variants	5	98.2 - 99.32	YES	NO	Chlamydia trachomatis; Chlamydia suis	1076.00	0.00	1076.00	42.63	1252.80	151.68	0	0	0	0	N/A	N/A		2939; 2939; 2939; 2939; 2939	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
Clostridioides difficile 23S rRNA with mutation conferring resistance to erythromycin and clindamycin	3004654	rRNA gene variant model	Resistomes & Variants	3	98.86 - 99.07	NO	NO	Clostridium perfringens; Escherichia coli; Streptococcus pneumoniae; Clostridioides difficile	1557.00	0.00	1557.00	55.10	1597.33	159.68	0	0	0	0	N/A	N/A		2899; 2899; 2899	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
Mycobacterium avium 23S rRNA with mutation conferring resistance to clarithromycin	3004164	rRNA gene variant model	Resistomes & Variants	1	99.94	NO	NO	Mycobacterium avium	67.00	0.00	67.00	19.02	592.00	133.82	0	0	0	0	N/A	N/A		3112	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
Escherichia coli 23S rRNA with mutation conferring resistance to erythromycin and telithromycin	3004131	rRNA gene variant model	Resistomes & Variants	15	97.9 - 99.45	YES	NO	Escherichia coli; Salmonella enterica	1577.00	0.00	1577.00	27.74	806.20	158.80	0	0	0	0	N/A	N/A		2908; 2913; 2910; 2905; 2912; 2857; 2915; 2914; 2904; 2903; 2909; 2914; 2901; 2902; 2904	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin	3003333	rRNA gene variant model	Resistomes & Variants	4	98.7 - 99.03	YES	NO	Escherichia coli	18.00	0.00	18.00	21.54	332.00	167.65	0	0	0	0	N/A	N/A		1540; 1542; 1540; 1542	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Escherichia coli 23S rRNA with mutation conferring resistance to oxazolidinone antibiotics	3004173	rRNA gene variant model	Resistomes & Variants	2	98.9 - 99.59	YES	NO	Escherichia coli	65.00	0.00	65.00	45.22	1314.50	176.15	0	0	0	0	N/A	N/A		2909; 2903	23S rRNA with mutation conferring resistance to oxazolidinone antibiotics	oxazolidinone antibiotic	antibiotic target alteration
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to paromomycin	3003403	rRNA gene variant model	Resistomes & Variants	1	99.55	NO	NO	Escherichia coli	1753.00	0.00	1753.00	100.00	1542.00	148.53	0	0	0	0	N/A	N/A		1542	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
